X,Sample.ID,Download.Source,TLD,Download.Speed,Ping.Time.To.Server,File.Size.Bytes,How.Many.Times.File.Seen,Executable.Code.Maybe.Present.in.Headers,Calls.To.Low.level.System.Libraries,Evidence.of.Code.Obfuscation,Threads.Started,Mean.Word.Length.of.Extracted.Strings,Similarity.Score,Actually.Malicious,Initial.Statistical.Analysis
14381,50955,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,79,8652331,594,YES,834,NO,1,5.05,-2.411374,NO,Correctly Identified as Clean
14384,50974,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,721,25656891,735,NO,4125,YES,1,4.27,-0.3803284,NO,Incorrectly Identified as Malware
14385,50975,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,46,2701048,574,YES,217,NO,1,5.02,1.100739,NO,Correctly Identified as Clean
14386,50977,Well Known Software Download Websites,.net,100KB/s to 1MB/s,91,18983989,710,NO,2498,YES,1,4.21,-0.246908,NO,Correctly Identified as Clean
14387,50983,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,600,2596993,445,NO,208,YES,1,4.72,-1.015651,YES,Correctly Identified as Malware
14389,50992,Well Known Software Download Websites,.com,100KB/s to 1MB/s,70,5009288,654,NO,433,YES,1,5.62,1.349489,YES,Correctly Identified as Malware
14391,51002,Well Known Software Download Websites,.com,100KB/s to 1MB/s,267,1262199,641,YES,97,YES,1,5.19,-0.4246012,YES,Correctly Identified as Malware
14393,51008,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,481,13230174,536,YES,1464,YES,1,4.87,1.478018,NO,Correctly Identified as Clean
14395,51014,Git Repository,.net,100KB/s to 1MB/s,366,3569258,595,NO,295,NO,1,5.32,-1.800421,NO,Correctly Identified as Clean
14396,51018,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,276,11613909,390,YES,1224,NO,1,4.38,1.494806,YES,Incorrectly Identified as Clean
14398,51024,Well Known Software Download Websites,.com,100KB/s to 1MB/s,206,13357111,544,NO,1484,YES,1,4.85,-0.9095076,NO,Correctly Identified as Clean
14405,51038,Well Known Software Download Websites,.net,100KB/s to 1MB/s,204,7921663,590,YES,747,YES,1,5.76,0.5991594,YES,Incorrectly Identified as Clean
14415,51081,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,324,9669370,476,NO,961,NO,1,4.4,0.2117903,YES,Incorrectly Identified as Clean
14418,51089,University Web Pages,.net,1MB/s to 10MB/s,233,8553079,277,NO,822,YES,1,4.78,0.7897602,YES,Correctly Identified as Malware
14421,51097,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,425,13651795,669,NO,1530,YES,1,4.75,1.017073,YES,Incorrectly Identified as Clean
14424,51106,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,122,9276758,701,NO,911,NO,1,5.76,-1.410875,YES,Correctly Identified as Malware
14427,51117,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,471,19037599,625,YES,2509,NO,1,4.55,-0.2326745,NO,Correctly Identified as Clean
14428,51122,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,412,8605558,480,NO,829,YES,1,4.92,-1.948409,YES,Correctly Identified as Malware
14429,51125,Well Known Software Download Websites,.net,100KB/s to 1MB/s,279,3514690,634,YES,290,YES,1,5.35,1.962186,YES,Correctly Identified as Malware
14431,51130,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,249,3430096,466,NO,282,NO,1,5.2,-1.290597,NO,Incorrectly Identified as Malware
14439,51154,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,325,6663395,653,YES,605,NO,1,6.22,1.388779,YES,Correctly Identified as Malware
14441,51158,Well Known Software Download Websites,.net,100KB/s to 1MB/s,379,7831124,617,NO,737,NO,1,5.14,-0.2621111,NO,Incorrectly Identified as Malware
14444,51169,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,57,1863768,514,YES,146,NO,1,4.69,-1.438938,YES,Incorrectly Identified as Clean
14445,51173,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,67,8174167,299,NO,777,NO,1,4.45,-0.9007022,YES,Correctly Identified as Malware
14448,51194,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,349,1251192,512,NO,96,NO,1,5.65,-0.253777,NO,Correctly Identified as Clean
14450,51202,Well Known Software Download Websites,.net,100KB/s to 1MB/s,576,13067296,830,YES,1439,NO,1,5.79,-0.733114,YES,Incorrectly Identified as Clean
14451,51204,Well Known Software Download Websites,.com,1MB/s to 10MB/s,180,3180769,426,NO,260,YES,1,4.31,2.232111,YES,Correctly Identified as Malware
14452,51210,University Web Pages,.com,1MB/s to 10MB/s,148,11055773,662,YES,1146,NO,1,4.95,2.226108,NO,Correctly Identified as Clean
14454,51213,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,796,7100921,504,YES,653,NO,1,4.89,0.2251543,NO,Correctly Identified as Clean
14456,51220,Well Known Software Download Websites,.com,1MB/s to 10MB/s,310,3398416,679,YES,279,NO,1,5.25,0.9918204,NO,Correctly Identified as Clean
14458,51230,Well Known Software Download Websites,.com,100KB/s to 1MB/s,87,5368270,639,YES,469,YES,1,4.44,-0.07447268,NO,Correctly Identified as Clean
14459,51232,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,112,22635272,554,NO,3323,NO,1,5.79,1.77392,NO,Correctly Identified as Clean
14461,51238,Well Known Software Download Websites,.net,Greater than 10MB/s,375,12504158,572,YES,1354,NO,1,4.9,-0.1864567,NO,Correctly Identified as Clean
14462,51252,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,288,6545684,614,NO,592,NO,1,5.84,0.8093526,YES,Correctly Identified as Malware
14466,51271,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,178,451745,673,YES,34,YES,1,4.42,-1.218479,YES,Correctly Identified as Malware
14469,51284,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,452,931333,698,NO,71,NO,1,6.29,0.04034673,YES,Incorrectly Identified as Clean
14472,51304,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,372,511167,739,NO,38,NO,1,5.45,0.5109833,YES,Correctly Identified as Malware
14487,51350,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,124,3500174,563,YES,289,NO,1,5.26,0.1004604,NO,Correctly Identified as Clean
14489,51354,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,264,5208498,232,YES,453,YES,1,4.78,1.653963,YES,Correctly Identified as Malware
14497,51372,Wordpress Powered Web Site,.edu,100KB/s to 1MB/s,251,5678400,617,NO,500,YES,1,4.93,1.192652,YES,Incorrectly Identified as Clean
14498,51373,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,202,9131317,762,NO,893,NO,1,5.32,-1.357438,YES,Incorrectly Identified as Clean
14501,51391,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,58,4425053,466,YES,375,YES,1,4.41,-1.074483,YES,Correctly Identified as Malware
14502,51402,Linked Directly to Google Search Result,.edu,1MB/s to 10MB/s,110,6309375,618,NO,567,NO,1,4.54,-0.6642043,YES,Correctly Identified as Malware
14503,51406,Well Known Software Download Websites,.com,100KB/s to 1MB/s,74,7629047,575,NO,713,YES,1,5.01,-0.5916711,NO,Correctly Identified as Clean
14504,51408,Well Known Software Download Websites,.net,100KB/s to 1MB/s,88,2960984,495,NO,240,NO,1,4.79,0.4441514,NO,Correctly Identified as Clean
14505,51411,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,517,10618382,451,YES,1086,YES,1,4.97,1.073187,YES,Correctly Identified as Malware
14506,51417,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,485,6222982,519,NO,558,NO,1,5.37,-0.359936,NO,Correctly Identified as Clean
14508,51419,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,27,13635069,670,YES,1527,YES,1,4.86,0.3027551,YES,Incorrectly Identified as Clean
14514,51438,Git Repository,.gov,100KB/s to 1MB/s,815,16780409,681,YES,2066,YES,1,4.17,0.3434767,NO,Correctly Identified as Clean
14516,51441,Well Known Software Download Websites,.com,100KB/s to 1MB/s,247,2305508,684,NO,183,YES,1,5.36,-0.6358409,YES,Correctly Identified as Malware
14519,51453,Well Known Software Download Websites,.edu,1MB/s to 10MB/s,469,10702223,636,NO,1098,YES,1,4.25,-0.3480746,NO,Incorrectly Identified as Malware
14536,51508,Well Known Software Download Websites,.net,100KB/s to 1MB/s,242,3585411,517,YES,297,YES,1,5.21,1.840063,YES,Incorrectly Identified as Clean
14537,51510,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,491,10601771,682,NO,1084,NO,1,5.62,0.9320424,YES,Correctly Identified as Malware
14542,51530,Well Known Software Download Websites,.net,Greater than 10MB/s,34,6115876,603,NO,546,NO,1,4.47,-0.09178699,NO,Correctly Identified as Clean
14543,51532,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,331,8755127,621,NO,847,NO,1,5.09,0.04457764,NO,Correctly Identified as Clean
14545,51539,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,73,19235321,687,YES,2550,NO,1,4.85,1.361142,NO,Correctly Identified as Clean
14551,51555,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,388,5928872,634,YES,527,NO,1,5.26,-0.5128281,NO,Correctly Identified as Clean
14553,51561,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,548,3685212,567,YES,306,NO,1,5.41,1.852327,NO,Correctly Identified as Clean
14555,51567,Well Known Software Download Websites,.net,100KB/s to 1MB/s,192,5604065,615,NO,493,NO,1,5.39,1.40347,NO,Correctly Identified as Clean
14557,51576,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,332,5843707,664,NO,518,YES,1,5.16,1.071132,YES,Correctly Identified as Malware
14558,51581,Well Known Software Download Websites,.net,100KB/s to 1MB/s,372,10024209,558,NO,1007,YES,1,5.23,2.146871,YES,Incorrectly Identified as Clean
14559,51582,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,69,17100811,454,YES,2126,NO,1,5.5,0.9163912,NO,Incorrectly Identified as Malware
14561,51593,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,147,243201,676,YES,18,NO,1,5.65,0.5171953,YES,Correctly Identified as Malware
14562,51596,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,549,2960674,601,NO,240,NO,1,6.1,-1.207067,YES,Incorrectly Identified as Clean
14563,51597,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,27,7825366,667,NO,736,YES,1,4.62,-0.9788149,YES,Correctly Identified as Malware
14564,51602,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,315,12453954,552,YES,1346,YES,1,4.02,-0.62309,NO,Correctly Identified as Clean
14565,51605,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,199,11771635,670,YES,1247,YES,1,4.1,-1.6573,NO,Incorrectly Identified as Malware
14566,51614,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,335,6114141,657,YES,546,NO,1,5.37,0.8073864,YES,Correctly Identified as Malware
14567,51620,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,162,20511438,515,YES,2825,YES,1,4.41,-0.006166926,NO,Correctly Identified as Clean
14568,51621,Well Known Software Download Websites,.com,100KB/s to 1MB/s,852,19800581,557,NO,2670,YES,1,5.66,1.588255,NO,Correctly Identified as Clean
14576,51646,Well Known Software Download Websites,.com,100KB/s to 1MB/s,91,20985045,494,NO,2932,NO,1,5.12,-0.8999214,NO,Correctly Identified as Clean
14579,51651,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,312,8171754,633,NO,777,NO,1,4.99,1.345413,NO,Incorrectly Identified as Malware
14580,51659,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,624,12376152,636,NO,1335,YES,1,4.74,-1.337332,YES,Incorrectly Identified as Clean
14581,51660,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,286,8010964,388,NO,758,YES,1,5.45,-0.1922304,YES,Correctly Identified as Malware
14587,51698,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,121,826499,463,YES,63,YES,1,4.47,0.8148114,YES,Incorrectly Identified as Clean
14590,51703,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,99,4436953,603,NO,377,YES,1,5.69,-1.134908,YES,Correctly Identified as Malware
14595,51716,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,35,10291288,740,YES,1042,NO,1,5.34,1.18054,YES,Correctly Identified as Malware
14596,51718,Well Known Software Download Websites,.net,1MB/s to 10MB/s,392,303691,635,YES,22,NO,1,4.59,-1.872266,YES,Correctly Identified as Malware
14603,51733,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,118,9944056,579,YES,997,NO,1,5.11,0.2070002,NO,Correctly Identified as Clean
14605,51737,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,197,22626293,652,YES,3321,YES,1,5.24,0.9985281,YES,Incorrectly Identified as Clean
14606,51739,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,194,2050250,514,YES,162,YES,1,4.37,0.8462811,YES,Correctly Identified as Malware
14607,51742,Well Known Software Download Websites,.net,1MB/s to 10MB/s,152,11560354,460,NO,1217,NO,1,5.08,0.1654985,NO,Incorrectly Identified as Malware
14610,51756,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,29,395830,555,NO,29,YES,1,5.6,-0.3032032,YES,Incorrectly Identified as Clean
14617,51775,Linked to Web Search Advertisment,.net,100KB/s to 1MB/s,178,11309871,707,NO,1181,YES,1,4.81,-0.8617722,YES,Incorrectly Identified as Clean
14618,51779,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,162,4688357,541,YES,401,YES,1,5.21,-0.8491567,YES,Incorrectly Identified as Clean
14623,51802,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,137,18898761,647,NO,2480,YES,1,4.5,-1.334231,NO,Correctly Identified as Clean
14625,51820,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,467,7768231,453,NO,729,YES,1,4.29,0.1417223,YES,Correctly Identified as Malware
14635,51859,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,273,9921662,567,NO,994,YES,1,4.99,-1.337521,YES,Correctly Identified as Malware
14638,51869,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,198,6962514,790,NO,638,NO,1,4.6,1.063672,YES,Correctly Identified as Malware
14641,51880,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,560,11245886,534,NO,1172,YES,1,4.34,1.058371,NO,Correctly Identified as Clean
14642,51884,Git Repository,.gov,100KB/s to 1MB/s,204,9307053,539,YES,915,NO,1,5.54,0.3607991,NO,Correctly Identified as Clean
14644,51891,University Web Pages,.com,1MB/s to 10MB/s,42,3470719,371,YES,286,YES,1,4.54,-0.307178,YES,Incorrectly Identified as Clean
14645,51898,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,176,12297651,510,YES,1323,YES,1,5.45,-1.043143,YES,Correctly Identified as Malware
14646,51899,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,246,1848442,738,YES,145,YES,1,3.87,-0.597391,NO,Incorrectly Identified as Malware
14650,51909,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,190,12156422,477,NO,1302,NO,1,4.25,0.02682309,YES,Correctly Identified as Malware
14658,51952,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,23,23221872,766,YES,3470,YES,1,4.38,0.5384913,NO,Correctly Identified as Clean
14662,51968,Well Known Software Download Websites,.com,100KB/s to 1MB/s,373,932182,586,YES,71,YES,1,5.17,-0.0477236,YES,Correctly Identified as Malware
14670,51997,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,38,5699667,665,YES,503,YES,1,4.13,-0.1102844,NO,Correctly Identified as Clean
14675,52036,Well Known Software Download Websites,.com,100KB/s to 1MB/s,150,1791754,603,YES,140,YES,1,5.39,-1.947302,NO,Correctly Identified as Clean
14678,52043,Well Known Software Download Websites,.com,100KB/s to 1MB/s,97,631066,529,YES,47,YES,1,5.41,0.8173128,NO,Incorrectly Identified as Malware
14688,52081,Well Known Software Download Websites,.com,100KB/s to 1MB/s,396,9245345,629,NO,907,NO,1,4.89,-1.911028,NO,Correctly Identified as Clean
14693,52104,Linked Directly to Google Search Result,.com,Greater than 10MB/s,104,22116953,451,NO,3197,NO,1,6.08,-0.9410623,NO,Correctly Identified as Clean
14701,52121,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,243,1197684,606,YES,92,YES,1,4.27,-0.7495725,NO,Correctly Identified as Clean
14704,52135,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,329,4853345,661,YES,417,YES,1,4.74,-0.003559071,NO,Correctly Identified as Clean
14707,52149,University Web Pages,.com,100KB/s to 1MB/s,498,5953678,498,YES,529,NO,1,5.47,0.3580567,NO,Correctly Identified as Clean
14708,52150,Well Known Software Download Websites,.com,100KB/s to 1MB/s,137,124817,563,NO,9,NO,1,5.51,1.860317,NO,Correctly Identified as Clean
14711,52162,Well Known Software Download Websites,.com,100KB/s to 1MB/s,32,3375450,579,NO,277,YES,1,5.6,0.7612504,YES,Correctly Identified as Malware
14713,52173,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,272,993258,577,YES,76,NO,1,5.51,0.7832333,NO,Correctly Identified as Clean
14714,52174,Git Repository,.com,100KB/s to 1MB/s,525,11890019,530,YES,1264,YES,1,5.07,0.5408457,YES,Correctly Identified as Malware
14715,52175,Well Known Software Download Websites,.net,100KB/s to 1MB/s,254,27537371,324,YES,4685,NO,1,3.84,0.8127582,YES,Incorrectly Identified as Clean
14722,52193,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,112,2104559,535,YES,166,NO,1,5.18,-0.2107945,NO,Correctly Identified as Clean
14725,52202,Well Known Software Download Websites,.com,100KB/s to 1MB/s,84,5225009,563,YES,454,NO,1,5.53,-0.5166627,NO,Correctly Identified as Clean
14729,52214,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,286,5850873,774,NO,518,NO,1,5.21,-0.4806438,YES,Correctly Identified as Malware
14732,52222,Wordpress Powered Web Site,.gov,1MB/s to 10MB/s,345,7894259,592,YES,744,YES,1,4.98,-0.4889663,NO,Correctly Identified as Clean
14734,52230,Git Repository,.net,100KB/s to 1MB/s,584,10744188,666,YES,1103,NO,1,5.27,-0.1070918,YES,Incorrectly Identified as Clean
14742,52258,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,235,7245488,449,YES,670,YES,1,5.34,-1.211557,NO,Correctly Identified as Clean
14743,52269,Well Known Software Download Websites,.com,100KB/s to 1MB/s,268,2799109,652,NO,226,YES,1,4.38,-3.057153,NO,Correctly Identified as Clean
14746,52286,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,931,4842658,472,NO,416,NO,1,4.57,-0.2679206,YES,Correctly Identified as Malware
14751,52300,Well Known Software Download Websites,.net,1MB/s to 10MB/s,766,20776649,527,NO,2885,YES,1,4.94,-1.513856,NO,Correctly Identified as Clean
14757,52318,Git Repository,.net,100KB/s to 1MB/s,86,3789754,575,NO,315,NO,1,4.74,-0.1728787,NO,Correctly Identified as Clean
14765,52391,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,565,4529816,592,YES,386,NO,1,5.13,0.2655607,NO,Correctly Identified as Clean
14768,52405,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,543,11519627,653,NO,1211,YES,1,4.14,2.132956,NO,Correctly Identified as Clean
14774,52424,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,51,6805102,388,NO,621,NO,1,4.65,0.1376477,YES,Correctly Identified as Malware
14777,52430,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,897,3240392,620,NO,265,NO,1,5.51,-0.4550619,NO,Incorrectly Identified as Malware
14779,52437,Well Known Software Download Websites,.com,1MB/s to 10MB/s,241,13331234,483,NO,1480,NO,1,5.5,0.01965936,NO,Correctly Identified as Clean
14781,52452,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,618,535141,712,NO,40,NO,1,4.98,-0.2525602,NO,Correctly Identified as Clean
14788,52478,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,469,1967526,541,NO,155,YES,1,5.44,1.951407,NO,Correctly Identified as Clean
14789,52479,University Web Pages,.edu,1MB/s to 10MB/s,290,4885763,737,NO,420,YES,1,4.22,0.4767398,NO,Correctly Identified as Clean
14798,52528,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,172,1584623,520,YES,123,YES,1,5.65,1.388111,YES,Incorrectly Identified as Clean
14799,52530,Linked Directly to Google Search Result,.net.au,100KB/s to 1MB/s,122,1941653,597,YES,153,YES,1,5.54,-0.942944,YES,Correctly Identified as Malware
14800,52541,Well Known Software Download Websites,.com,100KB/s to 1MB/s,53,1537965,515,YES,119,YES,1,5.17,-0.7704748,YES,Correctly Identified as Malware
14801,52542,Well Known Software Download Websites,.com,100KB/s to 1MB/s,291,6898059,696,NO,631,YES,1,5.39,-1.525706,YES,Correctly Identified as Malware
14802,52543,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,546,3866560,537,NO,323,NO,1,5,0.07617732,NO,Correctly Identified as Clean
14803,52545,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,489,3919862,594,YES,328,YES,1,4.7,-0.2742926,YES,Correctly Identified as Malware
14804,52551,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,350,11892775,566,YES,1264,YES,1,4.59,-0.3763636,NO,Correctly Identified as Clean
14806,52555,Well Known Software Download Websites,.net,100KB/s to 1MB/s,211,2490101,622,NO,199,YES,1,5.67,0.529406,YES,Incorrectly Identified as Clean
14807,52567,Well Known Software Download Websites,.net,100KB/s to 1MB/s,353,11129794,666,YES,1156,YES,1,3.96,0.3050097,NO,Correctly Identified as Clean
14810,52587,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,38,10496647,509,YES,1070,NO,1,4.95,0.6143789,NO,Correctly Identified as Clean
14811,52590,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,285,9721093,528,NO,968,YES,1,5.26,0.1028966,NO,Correctly Identified as Clean
14814,52601,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,144,5783469,520,NO,511,YES,1,5.41,1.16536,YES,Correctly Identified as Malware
14818,52608,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,525,7055938,529,NO,648,YES,1,5.82,-1.327436,YES,Incorrectly Identified as Clean
14819,52611,Well Known Software Download Websites,.com,1MB/s to 10MB/s,289,6601711,343,YES,598,YES,1,4.9,-1.373187,NO,Correctly Identified as Clean
14822,52615,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,67,23616431,686,NO,3571,NO,1,4.8,-0.1627704,NO,Correctly Identified as Clean
14825,52625,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,604,10545697,610,YES,1076,NO,1,5.38,-0.4711063,NO,Incorrectly Identified as Malware
14827,52632,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,180,5435895,494,NO,476,NO,1,4.47,-1.292632,YES,Incorrectly Identified as Clean
14829,52645,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,113,26327676,713,YES,4319,NO,1,4.72,-0.5293024,NO,Correctly Identified as Clean
14830,52647,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,98,29391813,814,YES,5287,YES,1,3.49,-0.1857897,NO,Correctly Identified as Clean
14831,52650,Well Known Software Download Websites,.net,100KB/s to 1MB/s,452,1287284,598,YES,99,YES,1,5.71,0.8505307,YES,Incorrectly Identified as Clean
14833,52656,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,241,8434684,579,YES,808,NO,1,5.13,1.024404,NO,Correctly Identified as Clean
14834,52658,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,360,3206616,637,YES,262,YES,1,4.05,1.27953,NO,Correctly Identified as Clean
14836,52673,Well Known Software Download Websites,.net,100KB/s to 1MB/s,244,12215771,532,YES,1311,YES,1,5.27,0.9391885,NO,Correctly Identified as Clean
14837,52684,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,163,16788717,809,YES,2068,NO,1,4.86,-0.005562349,NO,Correctly Identified as Clean
14839,52689,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,135,938836,370,YES,71,YES,1,4.8,-0.5733502,YES,Incorrectly Identified as Clean
14841,52691,Git Repository,.com,100KB/s to 1MB/s,38,7100021,667,NO,653,YES,1,3.91,-0.5546704,NO,Correctly Identified as Clean
14843,52695,Well Known Software Download Websites,.net,100KB/s to 1MB/s,112,7003678,700,YES,643,YES,1,5.09,1.369117,YES,Correctly Identified as Malware
14844,52703,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,318,2916396,611,YES,236,NO,1,5.22,0.4758989,NO,Correctly Identified as Clean
14845,52705,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,60,9995572,655,YES,1004,NO,1,5.3,0.6900801,YES,Incorrectly Identified as Clean
14850,52720,Well Known Software Download Websites,.org,100KB/s to 1MB/s,154,10477530,636,YES,1067,NO,1,4.97,0.1484542,NO,Correctly Identified as Clean
14855,52737,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,434,1780319,540,NO,139,YES,1,5.44,-1.535282,YES,Incorrectly Identified as Clean
14857,52753,Well Known Software Download Websites,.com,100KB/s to 1MB/s,209,4225129,590,NO,356,NO,1,4.61,0.09415645,NO,Correctly Identified as Clean
14860,52764,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,319,15139861,539,YES,1774,NO,1,4.87,-0.1248981,NO,Correctly Identified as Clean
14861,52772,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,263,9700018,641,YES,965,NO,1,4.21,0.4003311,NO,Correctly Identified as Clean
14863,52776,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,38,8966374,482,YES,873,YES,1,4.9,0.8354299,YES,Incorrectly Identified as Clean
14872,52806,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,515,3918962,592,NO,327,NO,1,4.72,-1.260763,NO,Correctly Identified as Clean
14876,52818,Well Known Software Download Websites,.com,100KB/s to 1MB/s,511,11469839,681,NO,1204,YES,1,3.89,-0.8516931,NO,Correctly Identified as Clean
14878,52830,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,228,2235104,627,NO,177,YES,1,4.99,0.2110467,YES,Incorrectly Identified as Clean
14880,52841,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,315,5270302,635,YES,459,YES,1,5.52,0.5236226,YES,Correctly Identified as Malware
14885,52861,Git Repository,.com,100KB/s to 1MB/s,337,6194550,580,NO,555,NO,1,4.78,1.203567,NO,Correctly Identified as Clean
14888,52872,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,368,16663151,393,NO,2045,YES,1,4.93,-0.5041179,YES,Correctly Identified as Malware
14889,52874,Well Known Software Download Websites,.net,100KB/s to 1MB/s,118,9313267,676,NO,916,YES,1,5.31,0.9681555,YES,Incorrectly Identified as Clean
14891,52878,Linked Directly to Google Search Result,.edu,Greater than 10MB/s,168,4389768,558,YES,372,YES,1,4.62,-0.5916341,NO,Correctly Identified as Clean
14894,52887,Well Known Software Download Websites,.com,1MB/s to 10MB/s,210,14891776,762,YES,1732,NO,1,5.74,-0.3137863,YES,Correctly Identified as Malware
14897,52893,Well Known Software Download Websites,.com,100KB/s to 1MB/s,149,20662867,607,YES,2859,YES,1,5.2,-1.240855,YES,Correctly Identified as Malware
14898,52894,Git Repository,.net,1MB/s to 10MB/s,450,9340780,556,NO,919,YES,1,5.41,-0.3659701,YES,Correctly Identified as Malware
14899,52897,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,265,17679159,183,YES,2236,NO,1,4.17,-0.04668673,YES,Correctly Identified as Malware
